,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN
MMM,1.0,0.9471227565558723,0.9175895644468808,0.9667340285931774,0.9268253723219292,0.9620769163923342,0.9319137703642316,-0.5176731476981843,0.9671548923693242,-0.2815981500352636,0.9555096752946913,0.8786578670129337,0.9090118448087359,0.601900917752879,0.9696003469713114,0.27815079299904705,0.9461242316854853,0.8563783496134045,0.8102278755595296,0.9108737547964517,0.9718784026382384,0.8584575076350726,0.9231207695272733,0.9360175430031148,0.9694600595926597,0.8750889655124144,0.953763657589693,0.9529350777256252,0.9732695705019548,0.9364868182213736
ABT,0.9471227565558723,1.0,0.8706080710765935,0.9537401594085657,0.8906520097170855,0.9031476588377192,0.888535315736724,-0.5849514024913532,0.9561289277309687,-0.2242015970558522,0.9206697506014686,0.9144385415834086,0.876123250622782,0.5949481597551873,0.9535805317377664,0.288331823528653,0.9156600031972734,0.8528027844679141,0.7716863626047369,0.9597191888036974,0.916446704097957,0.43594452346234336,0.9276329461093552,0.9702525469769828,0.9481315812565932,0.815899462187452,0.9237752197264238,0.9232445838651795,0.9490724086904743,0.8889464782776534
ABBV,0.9175895644468808,0.8706080710765935,1.0,0.782810348857471,0.7403703139439719,0.8312264824551671,0.8683431451339909,0.1886577146555832,0.8968128095986146,0.056811190890608404,0.9055078041443535,0.1597310276530213,0.7254714731902009,0.8068422730358146,0.9289721511287753,0.7098376429451524,0.8434223847386516,0.22813041892317718,0.8414192999036784,0.6305149436747147,0.7866533352090255,0.727451311798059,0.838971825138962,0.554290424153783,0.8020820189942428,0.9278951687138264,0.7437327878792667,0.7326342328416925,0.8306828266238832,0.6709302682690442
ACN,0.9667340285931774,0.9537401594085657,0.782810348857471,1.0,0.9392256217536668,0.9590374707199089,0.9247704404067633,-0.5114049489110193,0.9635660874663182,0.04039204952258914,0.9326542341774404,0.8436671717733628,0.886363811264775,0.9250736284704223,0.9589718113661626,0.8146699544661997,0.9446283050120343,0.8923694460949789,0.7807513799716024,0.9243101296701973,0.962511021218348,0.9234988606853886,0.9112865585792495,0.9233248392955997,0.9832983944014911,0.784046568275217,0.9663504846010357,0.966029715226526,0.987557008496573,0.970802528446811
ATVI,0.9268253723219292,0.8906520097170855,0.7403703139439719,0.9392256217536668,1.0,0.9668802541851207,0.9394858041873215,-0.525572741370469,0.9084552568819882,-0.2567268695883038,0.9378605613265603,0.75985527893825,0.8848491878486587,0.5616964809333157,0.9389094665228405,0.2671120023508142,0.9046376456869794,0.8289010329852264,0.8276820272168244,0.814715857562076,0.9216509198334488,0.8950242744574811,0.8448138490188936,0.8207887327375294,0.9450687362212928,0.793159228810426,0.9417293906798139,0.9386503788583629,0.958532473942435,0.9541334438731244
AYI,0.9620769163923342,0.9031476588377192,0.8312264824551671,0.9590374707199089,0.9668802541851207,1.0,0.9634494331543693,-0.41899516425485356,0.9458448177219742,0.1085706042306052,0.9551786649398056,0.7642073493244534,0.8617080925747772,0.8793270007348767,0.9369813657451359,0.7712538494273505,0.9659089979534259,0.7837581201715176,0.7881192514473191,0.8550521632206428,0.9587847764028873,0.9439292488536182,0.9199532322918428,0.8626000922752012,0.958363990717723,0.8314554332362265,0.9560152565882873,0.9529411670388707,0.9748919594104029,0.9706144174148853
ADBE,0.9319137703642316,0.888535315736724,0.8683431451339909,0.9247704404067633,0.9394858041873215,0.9634494331543693,1.0,-0.33618950755590354,0.919646880792803,-0.06267620914803958,0.9569942578238344,0.8142114757821922,0.8744396701563353,0.6752420046627701,0.9240125421258104,0.37140766851988904,0.9265067865859107,0.7681889196342736,0.8177600096556329,0.8306346978046969,0.9330640558978569,0.9272348048296692,0.8856713168615205,0.8659307977522259,0.9325069027375925,0.8845390727591567,0.9389780152797108,0.9358785410956408,0.9301443592014829,0.9144402196338921
AMD,-0.5176731476981843,-0.5849514024913532,0.1886577146555832,-0.5114049489110193,-0.525572741370469,-0.41899516425485356,-0.33618950755590354,1.0,-0.47479200175775826,0.6108829182850297,-0.4337737119658187,-0.47006287528149515,-0.5133278545560775,0.0017964795485436965,-0.5653134205711058,0.08189753508016513,-0.4289714951654369,-0.5846464131655715,-0.3882800620504375,-0.5432908983935832,-0.4675003704652221,0.3247987590286709,-0.44425521930435063,-0.5153107613120859,-0.5013074335165497,-0.27879790912980074,-0.5031315730528261,-0.5059231799121162,-0.533283281437752,-0.48764155151405675
AAP,0.9671548923693242,0.9561289277309687,0.8968128095986146,0.9635660874663182,0.9084552568819882,0.9458448177219742,0.919646880792803,-0.47479200175775826,1.0,0.10001277654084144,0.9408511350039391,0.8541858862084775,0.8542200747409978,0.8999630261509768,0.9567653100826478,0.8271889177281463,0.965545276056689,0.8170909742126461,0.7516353522627826,0.9493307812529348,0.9351433456156286,0.7048695705557825,0.9603102546234664,0.9467577657604782,0.9528633628200698,0.8008621341760521,0.9387049859004366,0.9361470322126842,0.9699795941068722,0.9272451508755996
AES,-0.2815981500352636,-0.2242015970558522,0.056811190890608404,0.04039204952258914,-0.2567268695883038,0.1085706042306052,-0.06267620914803958,0.6108829182850297,0.10001277654084144,1.0,-0.23169155557683135,-0.20335554424570385,-0.257576089805068,0.34428562814436603,-0.26914485722325904,0.35953396225493367,-0.16068290680031524,-0.2776209835896407,-0.28464002648818293,-0.16978582466700018,-0.0627003412290654,-0.49118739667675054,-0.11683311413325187,0.04468569655423679,-0.19342406297314502,-0.16342347800544127,-0.15601628127331837,-0.15491155356942668,-0.24401751596992372,-0.2073275930704288
